,cluster.init
7x15,0
7x16,1
7x17,1
7x18,1
8x13,1
8x14,2
8x15,2
8x16,1
8x17,2
8x18,1
8x19,1
9x13,0
9x14,3
9x15,3
9x16,2
9x17,0
9x18,0
10x13,0
10x15,0
10x16,0
10x17,0
10x18,1
11x12,1
11x13,3
11x14,2
11x15,2
11x16,0
11x17,0
12x12,0
12x13,0
12x14,2
12x15,2
12x16,3
12x17,0
13x11,1
13x12,0
13x13,0
13x14,0
13x15,0
13x16,2
13x17,0
13x18,1
14x7,0
14x8,0
14x9,0
14x10,0
14x11,0
14x12,0
14x13,0
14x14,0
14x15,0
14x16,3
14x17,0
14x18,1
15x5,1
15x6,0
15x7,2
15x8,0
15x9,3
15x10,3
15x11,0
15x12,0
15x13,2
15x14,2
15x15,0
15x16,3
15x17,0
15x18,1
16x3,1
16x4,1
16x5,0
16x6,0
16x7,2
16x8,0
16x9,0
16x10,2
16x11,3
16x12,2
16x13,0
16x14,0
16x15,3
16x16,0
16x17,0
16x18,1
16x19,1
17x4,1
17x5,2
17x6,2
17x7,0
17x8,0
17x9,2
17x10,2
17x11,3
17x12,0
17x13,2
17x14,3
17x15,0
17x16,0
17x17,1
17x18,1
17x19,1
17x20,0
17x21,1
18x4,1
18x5,0
18x6,0
18x7,0
18x8,2
18x9,0
18x10,2
18x11,0
18x12,0
18x13,0
18x14,3
18x15,0
18x16,0
18x17,0
18x18,1
18x19,1
18x20,0
18x21,0
18x22,0
18x23,0
18x24,0
19x4,1
19x5,1
19x6,0
19x7,0
19x8,0
19x9,0
19x10,2
19x11,2
19x12,0
19x13,2
19x14,2
19x15,3
19x16,0
19x17,1
19x18,1
19x19,1
19x20,1
19x21,1
19x22,0
19x23,0
19x24,0
19x25,1
19x26,0
19x27,1
19x28,1
20x5,1
20x6,1
20x7,0
20x8,0
20x9,0
20x10,2
20x11,0
20x12,2
20x13,3
20x14,2
20x15,3
20x16,2
20x17,1
20x18,1
20x19,0
20x20,0
20x21,1
20x22,0
20x23,0
20x24,1
20x25,1
20x26,0
20x27,1
20x28,1
21x6,0
21x7,0
21x8,0
21x9,0
21x10,0
21x11,0
21x12,0
21x13,2
21x14,2
21x15,2
21x16,0
21x17,1
21x18,1
21x19,1
21x20,1
21x21,3
21x22,2
21x23,2
21x24,0
21x25,0
21x26,0
21x27,1
21x28,1
22x6,0
22x7,0
22x8,0
22x9,0
22x10,0
22x11,0
22x12,2
22x13,0
22x14,0
22x15,0
22x16,0
22x17,1
22x18,1
22x19,0
22x20,2
22x21,0
22x22,2
22x23,2
22x24,1
22x25,0
22x26,0
22x27,0
23x7,0
23x8,0
23x9,0
23x10,0
23x11,0
23x12,0
23x13,0
23x14,0
23x15,0
23x16,1
23x17,0
23x18,0
23x19,2
23x20,2
23x21,2
23x22,0
23x23,0
23x24,0
23x25,1
23x26,1
24x8,0
24x9,0
24x10,0
24x11,0
24x12,2
24x13,0
24x14,1
24x15,1
24x16,0
24x17,1
24x18,1
24x19,1
24x20,0
24x21,2
24x22,0
24x23,0
24x24,1
24x25,1
25x9,1
25x10,1
25x11,1
25x12,1
25x13,0
25x14,1
25x15,0
25x16,1
25x17,1
25x18,0
25x19,1
25x20,0
25x21,2
25x22,2
25x23,0
25x24,0
26x11,1
26x12,0
26x13,1
26x14,1
26x15,0
26x16,1
26x17,1
26x18,0
26x19,1
26x20,0
26x21,2
26x22,0
26x23,1
27x14,1
27x15,1
27x17,1
27x18,1
27x19,1
27x20,0
27x21,0
27x22,0
